reg_militar;lugar;nombre;capacidad;coords;
8;pontevedra;cuartel de san fernando;450;42.431808265558814, -8.64870797603018;
8;pontevedra;guimiaso (?);50;;
8;pontevedra;cuadra para artilleria;50;;
8;figueirido;cuartel definitivo (?);;42.38495266451185, -8.6530221895792;
8;gijon;cuartel de artilleria;50;;
8;gijon;cuartel alfonso xiii;700;43.533651154446055, -5.649245348238181;
8;oviedo;cuartel de santa clara;500;43.36361376348363, -5.847292784120985;
8;leon;cuartel de san marco;100;42.60182664432954, -5.5819544489595305;
8;leon;cuartel de la fabrica vieja;257;42.596498091091014, -5.571069997055676;
8;leon;cuartel del cid;;42.59880936423102, -5.570202657561876;
bal;palma;cuartel del carmen;780;39.574126559238785, 2.6492831934702896;
bal;palma;cuartel de caballeria;95;;
bal;palma;cuartel de artilleria san pedro;230;39.570128494030236, 2.641477101944934;
bal;inca;cuartel del general luque;400;39.71624831460981, 2.906971430217317;
bal;pont d'inca;cuartel de san bonet;66;;
bal;alcudia;cuartel de infanteria;90;;
bal;alcudia;cuartel de caballeria;90;;
bal;mahon;cuartel de la esplanada;725;39.88697481635407, 4.258530637345334;
bal;mahon;cuartel de santiago;100;39.88369345258979, 4.258813024071793;
bal;villa carlos;cuartel del conde de cifuentes;300;39.87924955885024, 4.290634372842285;
bal;villa carlos;cuartel de calacorps;200;39.87949014091524, 4.290409290498789;
bal;villa carlos;cuartel de calafons;200;39.880172074585545, 4.290879566554293;
bal;villa carlos;cuartel del duque de cullon;200;39.88009352390164, 4.290077338866151;
bal;fortaleza de isabel ii;cuarteles altos;760;39.87661975860555, 4.310917366105892;
bal;ibiza;edificios del castillo;257;38.90607639081719, 1.436746915530812;
bal;cabrera;edificios del castillo;14;;
bal;palma;palacio de la almudaina;30;;
bal;palma;gobierno militar;10;;
bal;palma;cuadra en santa catalina;12;;
bal;palma;almacenes;14;;
bal;palma;almacenes;4;;
bal;palma;cuadra;6;;
bal;palma;cuadra;5;;
bal;pont d'inca;cuadra;3;;
bal;inca;cuadra;26;;
bal;palma;auditoria guerra;26;;
can;santa cruz de tenerife;cuartel de san carlos;530;28.461669178949773, -16.249453463423045;
can;santa cruz de tenerife;fuerte de almeyda;200;28.475501991628388, -16.24758248899161;
can;santa cruz de tenerife;cuartel de san pedro;140;28.47415397185415, -16.245151587136387;
can;santa cruz de tenerife;cuartel de buena vista;100;;
