"CUSEC","min_dist_army"
"0301402019",922.417092497735
"0301403002",1242.91873945831
"0301101004",17081.3072030756
"0301101006",19469.5546360272
"0301101008",16879.9574419076
"0301401011",686.540314450302
"0301402006",945.784366379368
"0301402009",1181.84863542835
"0301402025",1200.64284505379
"0301402028",1330.79908910325
"0301403011",2191.32514931961
"0300904004",19771.2868342335
"0300904006",19933.471690072
"0300907002",18966.6335946563
"0300907005",18473.4848985644
"0301101005",15245.4064333936
"0301101007",16588.1011436458
"0301402008",986.77189600565
"0301402010",1290.60929344877
"0301402026",1238.58499109684
"0301402029",1507.41573974501
"0301403010",2060.34518369958
"0301403012",2141.50428168332
"0301101002",19559.483059696
"0301201001",30099.7461683083
"0301401010",808.541587607006
"0301401018",217.153862757251
"0301402001",1279.98964908427
"0301402014",1841.50164737386
"0301402022",729.214613253786
"0301402017",1254.54696746995
"0301403003",1369.94197382414
"0301403004",1449.75207579335
"0301403021",1689.73839138819
"0301403022",2045.11584570455
"0301403035",2058.35179794413
"0301403036",2714.60689486281
"0301404014",2675.28662187984
"0301404015",2864.60195224731
"0301404032",5993.60544160184
"0301402003",1239.96676369651
"0301402012",1520.7808808204
"0301402020",1016.40070846689
"0301402024",1054.70017533012
"0301402033",1717.78797277287
"0301403007",1728.36400661247
"0301403014",2195.10433838291
"0301403025",1771.28104923657
"0301403032",1709.61137636553
"0301403039",2216.26112828827
"0301404003",4679.97525302593
"0301404010",1994.86751046895
"0301404018",2711.78502946621
"0301402002",1318.72535224107
"0301402005",1078.64935613218
"0301402032",1813.37750710855
"0301403001",1208.5040430604
"0301403006",1672.03004892482
"0301403008",1910.98563375435
"0301403031",2008.32812165352
"0301403040",2410.76478922177
"0301404002",4789.74834649744
"0301404026",5747.15172270914
"0301404028",6266.27864266367
"0301404035",4649.64542547946
"0301404037",4398.8683646684
"0301403013",2329.11767043138
"0301403028",1881.57440891646
"0301403030",2303.51114844904
"0301404005",4413.55816843258
"0301404007",2282.17713199671
"0301404021",4916.10541366596
"0301404023",3798.14034577118
"0301404025",2445.8714367984
"0301404038",6498.15843272452
"0301403027",1863.06576418203
"0301403029",1949.6617244872
"0301404004",1994.53058926234
"0301404006",1964.55586941888
"0301404022",6984.73096122281
"0301404024",2056.07841886403
"0301404039",4501.95852971758
"0301404041",11365.6404957177
"0301401002",1140.57044508389
"0301401007",1259.80829195012
"0301401009",928.948142799165
"0301402011",1478.81205555586
"0301402013",1872.46408702201
"0301402021",1920.02258849926
"0301402023",1380.60255426858
"0301403024",1670.31865284806
"0301403026",1704.02669411697
"0301404009",1984.8841065983
"0301404012",2330.32262706182
"0301404017",1936.57422067615
"0301403005",1561.53827267557
"0301403019",1559.8208061939
"0301403020",1783.7464175389
"0301403037",2192.96153808787
"0301403038",2729.8359985578
"0301404013",2232.83610099856
